epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1188.75,1.86678,2.6944,2.32378,0.34866,0.32983,0.32354,0.1789,1.7124,2.69214,2.30362,0.00023839,0.00023839,0.00023839
2,2359.53,1.88306,2.75178,2.34724,0.22301,0.19608,0.17386,0.08611,1.80882,3.11994,2.42743,0.000436507,0.000436507,0.000436507
3,3849.25,1.91759,2.74955,2.34473,0.31837,0.17727,0.16811,0.08954,1.88622,3.53862,2.51788,0.000585901,0.000585901,0.000585901
4,5325.55,1.87911,2.66756,2.29816,0.32289,0.32032,0.24589,0.1292,1.83799,3.09678,2.41619,0.000540607,0.000540607,0.000540607
5,6630.13,1.83845,2.55022,2.24044,0.35812,0.34101,0.28956,0.15325,1.74789,2.73182,2.2885,0.000464476,0.000464476,0.000464476
6,7666.15,1.78329,2.42321,2.17651,0.40779,0.3826,0.35795,0.19048,1.62564,2.56544,2.15071,0.000388345,0.000388345,0.000388345
7,8706.54,1.73258,2.32246,2.11441,0.42222,0.38286,0.34375,0.20118,1.62598,2.56365,2.1527,0.000312214,0.000312214,0.000312214
8,9728.79,1.69291,2.21751,2.07672,0.52886,0.38263,0.41828,0.24027,1.55951,2.24298,2.09003,0.000236083,0.000236083,0.000236083
9,10753.3,1.64284,2.12771,2.03398,0.48715,0.40843,0.41689,0.25187,1.54928,2.25226,2.09432,0.000159952,0.000159952,0.000159952
10,11776.3,1.61515,2.03872,1.98342,0.49557,0.4347,0.42259,0.25369,1.49421,2.1932,2.02282,8.3821e-05,8.3821e-05,8.3821e-05
