epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1212.42,1.06335,0.93693,1.3826,0.71287,0.63576,0.6652,0.47875,1.23409,1.44955,1.65746,0.00023839,0.00023839,0.00023839
2,2402.6,1.12786,1.02595,1.42849,0.61582,0.60911,0.58366,0.39532,1.38082,1.65843,1.82778,0.000436507,0.000436507,0.000436507
3,3557.18,1.18729,1.12166,1.48111,0.60226,0.58381,0.60096,0.41202,1.36716,1.62714,1.82304,0.000585901,0.000585901,0.000585901
4,4685.35,1.22774,1.19204,1.51922,0.63131,0.59308,0.61346,0.42269,1.37096,1.61418,1.77282,0.000540607,0.000540607,0.000540607
5,5767.25,1.20939,1.17008,1.49666,0.63316,0.56479,0.60237,0.41942,1.29819,1.66627,1.73341,0.000464476,0.000464476,0.000464476
6,6990.7,1.16865,1.09972,1.46344,0.61135,0.60522,0.59034,0.4061,1.31398,1.595,1.73926,0.000388345,0.000388345,0.000388345
7,8225.7,1.1275,1.03971,1.42369,0.68083,0.62643,0.65319,0.46762,1.27763,1.53595,1.70237,0.000312214,0.000312214,0.000312214
8,9572.43,1.09613,0.98292,1.40944,0.61272,0.68832,0.66904,0.47094,1.26998,1.44529,1.68885,0.000236083,0.000236083,0.000236083
9,10599.1,1.07431,0.92869,1.39249,0.72895,0.59136,0.66135,0.47111,1.23486,1.41908,1.65435,0.000159952,0.000159952,0.000159952
10,11603.3,1.03065,0.86714,1.34821,0.66657,0.67881,0.67974,0.48638,1.22253,1.35548,1.65238,8.3821e-05,8.3821e-05,8.3821e-05
